"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
-1.2636e-12,0,0,1,2,0.2,3.1225e-17,1.2751
-1.2832e-12,0,0,1,2,0.2,3.1225e-17,1.2796
-1.303e-12,0,0,1,2,0.2,3.1225e-17,1.2842
-1.323e-12,0,0,1,2,0.2,3.1225e-17,1.2887
-1.3431e-12,0,0,1,2,0.2,3.1225e-17,1.2933
-1.3633e-12,0,0,1,2,0.2,3.1225e-17,1.2979
-1.3729e-12,0,0,1,2,0.2,3.1225e-17,1.3
-1.3835e-12,0,0,1,2,0.2,3.1225e-17,1.3024
-1.4041e-12,0,0,1,2,0.2,3.1225e-17,1.3069
-1.4247e-12,0,0,1,2,0.2,3.1225e-17,1.3115
-1.4456e-12,0,0,1,2,0.2,3.1225e-17,1.316
-1.4665e-12,0,0,1,2,0.2,3.1225e-17,1.3206
-1.4877e-12,0,0,1,2,0.2,3.1225e-17,1.3251
-1.5089e-12,0,0,1,2,0.2,3.1225e-17,1.3297
-1.5303e-12,0,0,1,2,0.2,3.1225e-17,1.3343
-1.5519e-12,0,0,1,2,0.2,3.1225e-17,1.3388
-1.5735e-12,0,0,1,2,0.2,3.1225e-17,1.3434
-1.5953e-12,0,0,1,2,0.2,3.1225e-17,1.3479
-1.6173e-12,0,0,1,2,0.2,3.1225e-17,1.3525
-1.6394e-12,0,0,1,2,0.2,3.1225e-17,1.357
-1.6616e-12,0,0,1,2,0.2,3.1225e-17,1.3616
-1.6839e-12,0,0,1,2,0.2,3.1225e-17,1.3661
-1.7064e-12,0,0,1,2,0.2,3.1225e-17,1.3707
-1.729e-12,0,0,1,2,0.2,3.1225e-17,1.3753
-1.7518e-12,0,0,1,2,0.2,3.1225e-17,1.3798
-1.7747e-12,0,0,1,2,0.2,3.1225e-17,1.3844
-1.7977e-12,0,0,1,2,0.2,3.1225e-17,1.3889
-1.8208e-12,0,0,1,2,0.2,3.1225e-17,1.3935
-1.844e-12,0,0,1,2,0.2,3.1225e-17,1.398
-1.8541e-12,0,0,1,2,0.2,3.1225e-17,1.4
-1.8672e-12,0,0,1,2,0.2,3.1225e-17,1.4026
-1.8907e-12,0,0,1,2,0.2,3.1225e-17,1.4071
-1.9143e-12,0,0,1,2,0.2,3.1225e-17,1.4117
-1.938e-12,0,0,1,2,0.2,3.1225e-17,1.4162
-1.9619e-12,0,0,1,2,0.2,3.1225e-17,1.4208
-1.9859e-12,0,0,1,2,0.2,3.1225e-17,1.4253
-2.01e-12,0,0,1,2,0.2,3.1225e-17,1.4299
-2.0342e-12,0,0,1,2,0.2,3.1225e-17,1.4344
-2.0585e-12,0,0,1,2,0.2,3.1225e-17,1.439
-2.0829e-12,0,0,1,2,0.2,3.1225e-17,1.4436
-2.1075e-12,0,0,1,2,0.2,3.1225e-17,1.4481
-2.1321e-12,0,0,1,2,0.2,3.1225e-17,1.4527
-2.1569e-12,0,0,1,2,0.2,3.1225e-17,1.4572
-2.1818e-12,0,0,1,2,0.2,3.1225e-17,1.4618
-2.2067e-12,0,0,1,2,0.2,3.1225e-17,1.4663
-2.2318e-12,0,0,1,2,0.2,3.1225e-17,1.4709
-2.257e-12,0,0,1,2,0.2,3.1225e-17,1.4754
-2.2823e-12,0,0,1,2,0.2,3.1225e-17,1.48
-2.3077e-12,0,0,1,2,0.2,3.1225e-17,1.4846
-2.3332e-12,0,0,1,2,0.2,3.1225e-17,1.4891
-2.3588e-12,0,0,1,2,0.2,3.1225e-17,1.4937
-2.3845e-12,0,0,1,2,0.2,3.1225e-17,1.4982
-2.3945e-12,0,0,1,2,0.2,3.1225e-17,1.5
-2.41e-12,0,0,1,2,0.2,3.1225e-17,1.5027
-2.4359e-12,0,0,1,2,0.2,3.1225e-17,1.5073
-2.4619e-12,0,0,1,2,0.2,3.1225e-17,1.5118
-2.488e-12,0,0,1,2,0.2,3.1225e-17,1.5164
-2.5141e-12,0,0,1,2,0.2,3.1225e-17,1.521
-2.5404e-12,0,0,1,2,0.2,3.1225e-17,1.5255
-2.5667e-12,0,0,1,2,0.2,3.1225e-17,1.5301
-2.5931e-12,0,0,1,2,0.2,3.1225e-17,1.5346
-2.6197e-12,0,0,1,2,0.2,3.1225e-17,1.5392
-2.6463e-12,0,0,1,2,0.2,3.1225e-17,1.5437
-2.6729e-12,0,0,1,2,0.2,3.1225e-17,1.5483
-2.6997e-12,0,0,1,2,0.2,3.1225e-17,1.5528
-2.7266e-12,0,0,1,2,0.2,3.1225e-17,1.5574
-2.7535e-12,0,0,1,2,0.2,3.1225e-17,1.562
-2.7805e-12,0,0,1,2,0.2,3.1225e-17,1.5665
-2.8076e-12,0,0,1,2,0.2,3.1225e-17,1.5711
-2.8347e-12,0,0,1,2,0.2,3.1225e-17,1.5756
-2.862e-12,0,0,1,2,0.2,3.1225e-17,1.5802
-2.8893e-12,0,0,1,2,0.2,3.1225e-17,1.5847
-2.9167e-12,0,0,1,2,0.2,3.1225e-17,1.5893
-2.9441e-12,0,0,1,2,0.2,3.1225e-17,1.5938
-2.9717e-12,0,0,1,2,0.2,3.1225e-17,1.5984
-2.9814e-12,0,0,1,2,0.2,3.1225e-17,1.6
-2.999e-12,0,0,1,2,0.2,3.1225e-17,1.6029
-3.0267e-12,0,0,1,2,0.2,3.1225e-17,1.6075
-3.0544e-12,0,0,1,2,0.2,3.1225e-17,1.612
-3.0822e-12,0,0,1,2,0.2,3.1225e-17,1.6166
-3.1101e-12,0,0,1,2,0.2,3.1225e-17,1.6211
-3.138e-12,0,0,1,2,0.2,3.1225e-17,1.6257
-3.166e-12,0,0,1,2,0.2,3.1225e-17,1.6302
-3.194e-12,0,0,1,2,0.2,3.1225e-17,1.6348
-3.2221e-12,0,0,1,2,0.2,3.1225e-17,1.6394
-3.2503e-12,0,0,1,2,0.2,3.1225e-17,1.6439
-3.2785e-12,0,0,1,2,0.2,3.1225e-17,1.6485
-3.3068e-12,0,0,1,2,0.2,3.1225e-17,1.653
-3.3351e-12,0,0,1,2,0.2,3.1225e-17,1.6576
-3.3635e-12,0,0,1,2,0.2,3.1225e-17,1.6621
-3.3919e-12,0,0,1,2,0.2,3.1225e-17,1.6667
-3.4204e-12,0,0,1,2,0.2,3.1225e-17,1.6712
-3.4489e-12,0,0,1,2,0.2,3.1225e-17,1.6758
-3.4775e-12,0,0,1,2,0.2,3.1225e-17,1.6804
-3.5061e-12,0,0,1,2,0.2,3.1225e-17,1.6849
-3.5348e-12,0,0,1,2,0.2,3.1225e-17,1.6895
-3.5635e-12,0,0,1,2,0.2,3.1225e-17,1.694
-3.5922e-12,0,0,1,2,0.2,3.1225e-17,1.6986
-3.6012e-12,0,0,1,2,0.2,3.1225e-17,1.7
-3.6208e-12,0,0,1,2,0.2,3.1225e-17,1.7031
-3.6496e-12,0,0,1,2,0.2,3.1225e-17,1.7077
-3.6785e-12,0,0,1,2,0.2,3.1225e-17,1.7122
-3.7074e-12,0,0,1,2,0.2,3.1225e-17,1.7168
-3.7364e-12,0,0,1,2,0.2,3.1225e-17,1.7213
-3.7654e-12,0,0,1,2,0.2,3.1225e-17,1.7259
-3.7944e-12,0,0,1,2,0.2,3.1225e-17,1.7304
-3.8234e-12,0,0,1,2,0.2,3.1225e-17,1.735
-3.8525e-12,0,0,1,2,0.2,3.1225e-17,1.7395
-3.8816e-12,0,0,1,2,0.2,3.1225e-17,1.7441
-3.9108e-12,0,0,1,2,0.2,3.1225e-17,1.7487
-3.94e-12,0,0,1,2,0.2,3.1225e-17,1.7532
-3.9692e-12,0,0,1,2,0.2,3.1225e-17,1.7578
-3.9984e-12,0,0,1,2,0.2,3.1225e-17,1.7623
-4.0277e-12,0,0,1,2,0.2,3.1225e-17,1.7669
-4.057e-12,0,0,1,2,0.2,3.1225e-17,1.7714
-4.0863e-12,0,0,1,2,0.2,3.1225e-17,1.776
-4.1156e-12,0,0,1,2,0.2,3.1225e-17,1.7805
-4.145e-12,0,0,1,2,0.2,3.1225e-17,1.7851
